State,District,Year,Month,predicted_risk
Andhra Pradesh,Guntur,2020,9,0.0330408
Andhra Pradesh,Guntur,2020,10,0.03284033
Andhra Pradesh,Guntur,2020,10,0.03321599
Andhra Pradesh,Guntur,2020,10,0.03452148
Andhra Pradesh,Guntur,2020,10,0.034299314
Andhra Pradesh,Guntur,2020,10,0.034299314
Andhra Pradesh,Guntur,2020,11,0.038317647
Andhra Pradesh,Guntur,2020,11,0.03945324
Andhra Pradesh,Guntur,2020,11,0.041886337
Andhra Pradesh,Guntur,2020,11,0.041620806
Andhra Pradesh,Guntur,2020,11,0.041507967
Andhra Pradesh,Guntur,2020,12,0.043345034
Andhra Pradesh,Guntur,2020,12,0.039311785
Andhra Pradesh,Guntur,2020,12,0.038852442
Andhra Pradesh,Guntur,2020,12,0.035864692
Andhra Pradesh,Guntur,2020,12,0.036385067
Andhra Pradesh,Guntur,2021,1,0.04385499
Andhra Pradesh,Guntur,2021,1,0.046059396
Andhra Pradesh,Guntur,2021,1,0.05259121
Andhra Pradesh,Guntur,2021,1,0.055343717
Andhra Pradesh,Guntur,2021,1,0.055919938
Andhra Pradesh,Guntur,2021,2,0.069107346
Andhra Pradesh,Guntur,2021,2,0.07251256
Andhra Pradesh,Guntur,2021,2,0.10619862
Andhra Pradesh,Guntur,2021,2,0.12808095
Andhra Pradesh,Guntur,2021,2,0.12896201
Andhra Pradesh,Guntur,2021,3,0.13530208
Andhra Pradesh,Guntur,2021,3,0.15737577
Andhra Pradesh,Guntur,2021,3,0.2133055
Andhra Pradesh,Guntur,2021,3,0.22370389
Andhra Pradesh,Guntur,2021,3,0.23848692
Andhra Pradesh,Guntur,2021,4,0.17537208
Andhra Pradesh,Guntur,2021,4,0.14657132
Andhra Pradesh,Guntur,2021,4,0.17719918
Andhra Pradesh,Guntur,2021,4,0.16723175
Andhra Pradesh,Guntur,2021,4,0.16759194
Andhra Pradesh,Guntur,2021,5,0.3036261
Andhra Pradesh,Guntur,2021,5,0.18776697
Andhra Pradesh,Guntur,2021,5,0.2370613
Andhra Pradesh,Guntur,2021,5,0.29393592
Andhra Pradesh,Guntur,2021,5,0.3652687
Andhra Pradesh,Krishna,2020,1,0.28584865
Andhra Pradesh,Krishna,2020,1,0.22012004
Andhra Pradesh,Krishna,2020,1,0.35165203
Andhra Pradesh,Krishna,2020,2,0.23423159
Andhra Pradesh,Krishna,2020,2,0.120689504
Andhra Pradesh,Krishna,2020,2,0.16192362
Andhra Pradesh,Krishna,2020,3,0.12504305
Andhra Pradesh,Krishna,2020,3,0.082977444
Andhra Pradesh,Krishna,2020,3,0.08477218
Andhra Pradesh,Krishna,2020,4,0.04501459
